"Water Quality
Station Code",Name or Location of Monitoring Station,State/UT,"Type of Water
Body","Frequency of
Monitoring",Latitude,Longitude,
1792,"B/W -NEAR CKM COLLEGE , ENUMAMULA (V) , WARANGAL DIST.",TELANGANA,GROUND WATER,HALF-YEARLY,17.985717,79.624981,
1793,"O/W - BHOOMAIAH NEAR ASHPONDS OF NTPC , KUNDANPALLY (V)
, RAMAGUNDAM , KARIMNAGAR",TELANGANA,GROUND WATER,HALF-YEARLY,18.762806,79.481267,
1794,"B/W - MANAKONDUR (V) , KARIMNAGAR DIST.",TELANGANA,GROUND WATER,HALF-YEARLY,18.400128,79.191556,
1795,"B/W. - PANCHAYAT OFFICE , , BOLLARAM (V) MEDAK DIST.",TELANGANA,GROUND WATER,HALF-YEARLY,17.873928,78.100156,
1810,"B/W - SRI RAMNAGAR COLONY, SHAKKAR NAGAR, BODHAN, 
NIZAMABAD DIST.",TELANGANA,GROUND WATER,HALF-YEARLY,18.66591,77.904013,
1811,"B/W. - PRIMARY SCHOOL - RUDRAVELLI (V) , BIBINAGAR (M), 
NALGONDA DIST.",TELANGANA,GROUND WATER,HALF-YEARLY,17.471922,78.795814,
2339,"RIVER MUSI AT NAGOLE, RANGAREDDY",TELANGANA,RIVER,MONTHLY,17.382722,78.557775,
2340,"LAXMINARAYANA CHERUVU AT EDULABAD, RANGAREDDY",TELANGANA,LAKE,MONTHLY,17.424947,78.697686,
2341,"MIRALAM LAKE NEAR ZOO PARK, RANGAREDDY",TELANGANA,LAKE,MONTHLY,17.464719,78.404086,
2342,"NOOR MD. KUNTA, KATTEDAN, RANGAREDDY",TELANGANA,LAKE,MONTHLY,17.315242,78.427753,
2343,"PREMAJIPET TANK, KATTEDAN, RANGAREDDY",TELANGANA,TANK,MONTHLY,17.3041,78.411081,
2344,"NALLA CHERUVU, RANGAREDDY",TELANGANA,POND,MONTHLY,17.402311,78.580775,
2345,"SAI CHERUVU, NEAR TANNERY INDUSTRIES, DESAIPET, WARANGAL",TELANGANA,POND,MONTHLY,18.011542,79.603372,
2346,"BHADRAKALI CHERUVU, BHADRAKALI TEMPLE, WARANGAL",TELANGANA,POND,MONTHLY,17.989439,79.581544,
2347,"ASANI KUNTA, KAJIPALLY, MEDAK",TELANGANA,POND,MONTHLY,17.551992,78.346794,
2348,"KAJIPALLY TANK, KAJIPALLY, MEDAK",TELANGANA,TANK,MONTHLY,17.56675,78.336728,
2349,"NAKKAVAGU, BACHUGUDEM, MEDAK",TELANGANA,RIVER,MONTHLY,18.351114,78.73601,
2356,"GODAVARI, D/S OF RAMANUGUNDAM, MANTHANI",TELANGANA,RIVER,MONTHLY,18.727075,79.620161,
2357,DURGAM CHERUVU,TELANGANA,POND,MONTHLY,17.431481,78.390064,
2358,MALLAPUR TANK,TELANGANA,TANK,MONTHLY,17.427692,78.572431,
2359,PEDDA CHERUVU,TELANGANA,POND,MONTHLY,17.299677,78.498356,
2360,"GODAVARI AT BASARA, ADILABAD",TELANGANA,RIVER,MONTHLY,18.868297,77.962194,
2361,"GODAVARI AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU",TELANGANA,RIVER,MONTHLY,18.838133,79.441697,
2362,"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, 
KARIMNAGAR",TELANGANA,RIVER,MONTHLY,18.819131,79.468017,
2363,"GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, 
KARIMNAGAR",TELANGANA,RIVER,MONTHLY,18.781656,79.513558,
2364,"GODAVARI AT RAMAGUNDAM U/S , KARIMNAGAR",TELANGANA,RIVER,MONTHLY,18.786369,79.521028,
2365,"GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, 
WARANGAL",TELANGANA,RIVER,MONTHLY,18.288014,80.492375,
2366,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD.
DISCHARGE POINT, WARANGAL",TELANGANA,RIVER,MONTHLY,18.263814,80.538533,
2367,"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",TELANGANA,RIVER,MONTHLY,17.674897,80.883094,
2368,"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",TELANGANA,RIVER,MONTHLY,17.655586,80.876653,
2369,"GODAVARI AT BURGAMPAHAD, KHAMMAM",TELANGANA,RIVER,MONTHLY,17.648483,80.8775,
2372,"KINNERASANI A/C OF KTPS ASH POND EFFLUENTS, KHAMMAM",TELANGANA,RIVER,MONTHLY,17.224489,80.127061,
2373,"SABARI AT KUNAVARAM, KHAMMAM",TELANGANA,RIVER,MONTHLY,17.616333,81.286295,
2374,MANJEERA AT GOWDICHARLA B/C WITH NAKKAVAGU,TELANGANA,RIVER,MONTHLY,17.64797,78.143382,
2375,MANJEERA AT GOWDICHARLA A/C WITH NAKKAVAGU,TELANGANA,RIVER,MONTHLY,17.650778,78.134958,
3054,"OUTLET OF ASH POND EFFLUENTS OF M/S.NTPC, RAMAGUNDAM, 
KARIMNAGAR",TELANGANA,DRAIN,MONTHLY,18.758647,79.451014,
3055,"TREATED EFFLUENTS OF 339 MLD STP, AMBERPET, HYDERABAD
BEFORE JOINING TO MUSI, HYDERABAD",TELANGANA,DRAIN,MONTHLY,17.375853,78.529522,
3056,"OUTLET OF STP, LANGARHOUSE LAKE, RANGA REDDY",TELANGANA,DRAIN,MONTHLY,17.382383,78.414969,
3057,"OUTLET OF STP, NAGOLE ON RIVER MUSI, RANGA REDDY",TELANGANA,DRAIN,MONTHLY,17.38925,78.578039,
3058,"OUTLET OF STP, KHAIRATABAD ON HUSSAINSAGAR LAKE, RANGA
REDDY",TELANGANA,DRAIN,MONTHLY,17.416597,78.465164,
3059,"OUTLET OF STP, SAFILGUDA LAKE, RANGA REDDY",TELANGANA,DRAIN,MONTHLY,17.46244,78.53509,
3060,"OUTLET OF STP, DURGAM CHERUVU, RANGAREDDY",TELANGANA,DRAIN,MONTHLY,17.431905,78.388593,
3061,"OUTLET OF STP, NALLACHERUVU ON MUSI, RANGAREDDY",TELANGANA,DRAIN,MONTHLY,17.404603,78.575576,
3062,"OUTLET OF STP, SAROOR NAGAR, RANGAREDDY",TELANGANA,DRAIN,MONTHLY,17.353142,78.529911,
3063,"OUTLET OF STP ON RIVER GODAVARI AT MANCHERIAL, ADILABAD",TELANGANA,DRAIN,MONTHLY,18.867183,79.404586,
3064,"OUTLET OF 4MLD STP ON RIVER GODAVARI AT RAMAGUNDAM, 
KARIMNAGAR",TELANGANA,DRAIN,MONTHLY,18.757561,79.466472,
3065,"OUTLET OF 14MLD STP ON GODAVARI, RAMAGUNDAM, 
KARIMNAGAR",TELANGANA,DRAIN,MONTHLY,18.756764,79.463308,
3066,"OUTLET OF STP ON GODAVARI, BHADRACHALAM, KHAMMAM",TELANGANA,DRAIN,MONTHLY,17.665869,80.883311,
3068,"RAMAPPA LAKE, WARANGAL",TELANGANA,LAKE,MONTHLY,18.251147,79.939389,
3069,"SHAMEERPET LAKE, SHAMEERPET, RANGA REDDY",TELANGANA,LAKE,MONTHLY,17.60985,78.559258,
3070,"FOX SAGAR, JEEDIMETLA, RANGA REDDY",TELANGANA,LAKE,MONTHLY,17.524947,78.468533,
3071,"LANGARHOUSE LAKE, HYDERABAD",TELANGANA,LAKE,MONTHLY,17.380775,78.416553,
3072,"SAFILGUDA LAKE, RANGA REDDY",TELANGANA,LAKE,MONTHLY,17.464025,78.537203,
3073,"HASMATHPET LAKE, HASMATHPET, RANGA REDDY",TELANGANA,LAKE,MONTHLY,17.476167,78.492464,
3074,"BANJARA LAKE, BANJARA HILLS, RANGA REDDY",TELANGANA,LAKE,MONTHLY,17.411442,78.447356,
3075,"RANGADHAMUNI CHERUVU, RANGA REDDY",TELANGANA,POND,MONTHLY,17.370247,77.751367,
3076,"AMBER CHERUVU, KUKATPALLY, RANGA REDDY",TELANGANA,POND,MONTHLY,17.509406,78.399014,
3077,"KAPRA CHERUVU, KAPRA, RANGA REDDY",TELANGANA,POND,MONTHLY,17.487139,78.591567,
3078,"PRAGATHINAGAR CHERUVU, KUKATPALLY, RANGA REDDY",TELANGANA,POND,MONTHLY,17.513325,78.391869,
3080,"KARAKAVAGU U/S AT PALONCHA, KHAMMAM",TELANGANA,RIVER,MONTHLY,17.647541,80.707462,
3081,"KARAKAVAGU D/S AT PALONCHA, KHAMMAM",TELANGANA,RIVER,MONTHLY,16.065597,78.829544,
3082,"MUSI RESERVOIR AT KASANIGUDA, NALGONDA",TELANGANA,RIVER,MONTHLY,17.247636,79.492042,
3084,"WADDEPALLY TANK, KAZIPET, WARANGAL",TELANGANA,TANK,MONTHLY,17.996114,79.524178,
3085,"CHINNA WADDEPALLY TANK, WARANGAL",TELANGANA,TANK,MONTHLY,17.969118,79.594363,
3086,"SAKI TANK, PATANCHERU, RANGA REDDY",TELANGANA,TANK,MONTHLY,17.527061,78.260869,
3088,"B/W AT J.NARASIMHA RAOÂ’S HOUSE, 14NOS. AREA, 
RAMAVARAM, NEAR MWS DUMPSITE, KOTHAGUDEM, KHAMMAM",TELANGANA,GROUND WATER,HALF-YEARLY,17.687879,80.871767,
3094,"B/W AT AKBARNAGAR, RAMAGUNDAM, KARIMNAGAR",TELANGANA,GROUND WATER,HALF-YEARLY,18.421454,79.172351,
4222,"KONERU, KONDAGATTU TEMPLE, JAGITIYAL",TELANGANA,TANK,MONTHLY,18.67375,78.929676,
4223,"VEMULAWADA TEMPLE KONERU, KARIMNAGAR",TELANGANA,TANK,MONTHLY,15.936762,78.108024,
4224,"YADADRI TEMPLE, YADADRI, KONERU",TELANGANA,TANK,MONTHLY,15.931889,78.163384,
4225,"JOGULAMBA TEMPLE, GADWAL",TELANGANA,TANK,MONTHLY,15.87696,78.134486,
4226,"RIVER MANJEERA AT YEDU PAYALA TEMPLE, MEDAK",TELANGANA,RIVER,MONTHLY,18.001645,78.187456,
4227,"POCHERA WATER FALLS, ADILABAD",TELANGANA,RIVER,MONTHLY,19.342812,78.386807,
4228,"IBRAHIM CHERUVU, RAJENDRA NAGAR",TELANGANA,TANK,MONTHLY,17.383038,78.374235,
4229,NEKNAMPUR LAKE,TELANGANA,LAKE,MONTHLY,17.383819,78.37082,
4230,"KISTAIPALLY TANK, KAZIPET, WARANGAL",TELANGANA,TANK,MONTHLY,17.58969,78.35927,
4231,"RAYAM CHERUVU, BONTHAPALLY VILLAGE, JINNARAM MANDAL, 
SANGAREDDY DISTRICT",TELANGANA,TANK,MONTHLY,17.63959,78.35383,
4232,"KOMATI CHERUVU, SIDDIPET TOWN, SIDIPET DISTRICT",TELANGANA,TANK,MONTHLY,18.093188,78.840755,
4233,"GADDAPOTHARAM CHERUVU, GADDAPOTHARAM VILLAGE, 
JINNARAM MANDAL, SANGAREDDY DIST",TELANGANA,TANK,MONTHLY,17.602394,78.374152,
4234,"UMDA SAGAR LAKE, SHAMSHABAD",TELANGANA,LAKE,MONTHLY,17.297931,78.457407,
4235,LAKE KAMUNI ( SHAMSHABAD LAKE),TELANGANA,LAKE,MONTHLY,17.254995,78.38573,
4236,PEDDA CHERUVU (NACHARAM CHERUVU),TELANGANA,POND,MONTHLY,17.434541,78.548532,
4237,"MULLAKATWA CHERUVU, JI TECH CITY, MADHAPUR,",TELANGANA,TANK,MONTHLY,17.445663,78.373395,
4238,"AMEENPUR CHERUVU, AMEENPUR (V & M) SANGAREDDY DISTRICT",TELANGANA,TANK,MONTHLY,17.52554,78.334692,
4239,"MAHABOOBSAGAR TANK SANGAREDDY (V & M) SANGAREDDY
DISTRICT",TELANGANA,TANK,MONTHLY,17.62578,78.09672,
4240,"MUTHANGI TANK, MUTHANGI (V), PATANCHERU (M)
SANGAREDDY DISTRICT",TELANGANA,TANK,MONTHLY,17.540712,78.222551,
4241,"CHITKUL TANK, CHITKUL (V) PATANCHERU (M) SANGAREDDY
DISTRICT",TELANGANA,TANK,MONTHLY,17.56333,78.21833,
4242,"LAKADARAM CHERUVU, LAKADARAM (V) PATANCHERU (M)
SANGAREDDY DISTRICT",TELANGANA,TANK,MONTHLY,17.562138,78.214933,
4243,"ISNAPUR TANK, ISNAPUR (V) PATANCHERU 9M) SANGAREDDY
DISTRICT",TELANGANA,TANK,MONTHLY,17.55083,78.18861,
4244,"YERDANOOR TANK, YERDANOOR (V) SANGAREDDY DISTRICT",TELANGANA,TANK,MONTHLY,17.59861,78.15917,
4245,"MALLEPALLY TANK MALLEPALLY (V) KONDAPUR (M) SANGAREDDY
DISTRICT",TELANGANA,TANK,MONTHLY,17.55469,78.04711,
4246,PASHAMYLARAM TANK,TELANGANA,TANK,MONTHLY,17.542331,78.187269,
4247,"MUCHARLA NAGARAM CHERUVU, WARANGAL",TELANGANA,TANK,MONTHLY,18.08852,79.56714,
4248,"KOTI CHERUVU, HANAMKONDA, WARANGAL",TELANGANA,TANK,MONTHLY,18.00845,79.59673,
4249,"RANGASAMUDRAM, WARANGAL",TELANGANA,TANK,MONTHLY,17.909943,79.828127,
4250,"PALAIR RESERVOIR, KHAMMAM",TELANGANA,RIVER,MONTHLY,17.205273,79.919152,
4251,"D/S OF MUNNERU RIVER, PRAKASH NAGAR, KHAMMAM",TELANGANA,RIVER,MONTHLY,17.240006,80.124928,
4252,"UDAYA SAMUDRAM BALANCING RESERVOIR, PANAGAL (V)",TELANGANA,RIVER,MONTHLY,17.079964,79.307181,
,NALGONDA (TOWN & DISTRICT),,,,,,
4253,MUSI SAMPLE AT BAPUGHAT SANGAM U/S OF MUSI,TELANGANA,RIVER,MONTHLY,17.371785,78.412354,
4254,RIVER MUSI SAMPLE AT RUDRAVELLY BRIDGE,TELANGANA,RIVER,MONTHLY,17.406786,78.786331,
4255,"ALI SAGAR RESERVIOR PROJECT AREA, ALISAGAR (V) YEDAPALLY
(M) NIZAMABAD DIST.",TELANGANA,RIVER,MONTHLY,18.688576,78.017669,
4256,"LOWER MANAIR DAM, KARIMNAGAR",TELANGANA,RIVER,MONTHLY,18.400709,79.130596,
4257,MANERU RIVER D/S OF MUNICIPAL DUMP SITE KARIMNAGAR,TELANGANA,RIVER,MONTHLY,18.871681,78.624599,
4258,"SINGUR DAM RESERVOIR, SANGAREDDY",TELANGANA,RIVER,MONTHLY,17.833808,77.868663,
4259,SAMPLE FROM NAGARJUNA SAGAR DAM SPILL WAY,TELANGANA,RIVER,MONTHLY,16.575864,79.312177,
4260,"BORE WELL NEAR MSW DUMP YARD, MEDAK TOWN MEDAK
DISTRICT",TELANGANA,GROUND WATER,HALF-YEARLY,18.055211,78.265414,
4261,"BORE WELL AT M/S SHALINI STEELS LTD, IDA BOLLARAM, 
JINNARAM MANDAL, SANGAREDDY DISTRICT",TELANGANA,GROUND WATER,HALF-YEARLY,17.550527,78.349936,
4262,"BOREWELL NEAR GRAMPANCHYAT OFFICE, KISTAIPALLY VILLAGE 
JINNARM MANDAL, SANGAREDDY DISTRICT",TELANGANA,GROUND WATER,HALF-YEARLY,17.584139,78.374875,
4263,"BOREWELL NEAR MPP SCHOOL GADDAPOTHARAM VILLAGE, 
JINNARAM MANDAL, SANGAREDDY DISTRICT",TELANGANA,GROUND WATER,HALF-YEARLY,17.583019,78.106875,
4264,"BORE WELL WATER POINT AT ZP GIRLS HIGH SCHOOL BHUDAM
POCHAMPALLY (V & M) YADADRI DISTRICT",TELANGANA,GROUND WATER,HALF-YEARLY,17.290739,79.095476,
4265,"B/W AT GRAM PANCHAYATH OFFICE, DOTHIGUDAM",TELANGANA,GROUND WATER,HALF-YEARLY,17.32092,78.878912,
4266,"BOREWELL NEAR PRIMARY SCHOOL, ADLOOR YELLAREDDY (N)
SADASHIVANAGAR (M) KAMAREDDY DIST",TELANGANA,GROUND WATER,HALF-YEARLY,18.327971,78.319783,
4267,BOREWELL IDA KATTEDAN,TELANGANA,GROUND WATER,HALF-YEARLY,17.315032,78.434742,
,"BOREWELL LOCATED AT HOUSE OF SRI VITAL RAO, H.NO. 2-42 875, ",,,,,,
4268,"ABESTOS COLONY, GANDHI NAGAR, BALANAGAR, MEDCHAL",TELANGANA,GROUND WATER,HALF-YEARLY,17.477634,78.513568,
,DISTRICT,,,,,,
,"BOREWELL LOCATED AT HOUSE OF SRI P NEKATESH RAJU, PLOT NO",,,,,,
4269,"115,22 321, APIIC, CO- [PERATIVE CONONY, JEEDIMETLA, ",TELANGANA,GROUND WATER,HALF-YEARLY,17.520823,78.443886,
,QUTHBULLAPUR (M) MEDCHAL DISTRICT,,,,,,
,"BOREWELL LOCATED AT HOUSE OF P. ANJANEYULU, PLOT NO,25, ",,,,,,
4270,"SHAKTHIPURAM, PRASHANTH NAGAR, I. E. KUKATPALLY, ",TELANGANA,GROUND WATER,HALF-YEARLY,17.47301,78.439547,
,MEDCHAL DISTRICT,,,,,,
4271,"BOREWELL LOCATED AT GOVERNMENT PRIMARY SCHOOL, SY. NO
32 DHULAPALLY (V) QUTHBULLAPUR (M) MEDCHAL DISTRICT.",TELANGANA,GROUND WATER,HALF-YEARLY,17.477435,78.358313,
4272,"BOREWELL LOCATED AT RAHIV GRUHA KA;PA, AHMEDGUDA, 
AMBEDKAR NAGAR, KAPRA MEDCHAL DISTRICT.",TELANGANA,GROUND WATER,HALF-YEARLY,17.512434,78.573997,
4273,"BOREWELL LOCATED AT THANDA DUNDIGAL (V) DHUNDIGAL (M)
MEDCHAL DISTRICT",TELANGANA,GROUND WATER,HALF-YEARLY,17.643723,78.406739,
4274,"BOREWELL POINTS AT THE PERIPHERY OF THE IDA, JEEDIMETLA",TELANGANA,GROUND WATER,HALF-YEARLY,17.524542,78.435015,
4275,BOREWELL POINTS AT THE PERIPHERY OF THE ISA BALANAGAR,TELANGANA,GROUND WATER,HALF-YEARLY,17.50226,78.350264,
4276,"BOREWELL NEAR GRAM PANCHAYAT OFFICE, KHAZIPALLY VILLAGE, 
SANGAREDDY DISTRIST",TELANGANA,GROUND WATER,HALF-YEARLY,17.988869,78.326758,
4277,B/W AT ZPHS SULTHANPUR,TELANGANA,GROUND WATER,HALF-YEARLY,17.718793,78.092086,
4278,"B/W AT AUROBINDO, HATNUR, SANGAREDDY",TELANGANA,GROUND WATER,HALF-YEARLY,17.611506,78.091535,
4279,"B/W NEAR M/S ARCH PHARMA, GUNDLA MACHANUR, 
SANGAREDDY",TELANGANA,GROUND WATER,HALF-YEARLY,17.592759,78.381561,
4280,"B,W AT IDS RAMPUR, HANAMKONDA, WARANGAL",TELANGANA,GROUND WATER,HALF-YEARLY,18.011953,79.579042,
4281,"B/W NEAR BHIMANPALLI VILLAGE (OPEN LAND ) POCHAMPALLY
MANDAL",TELANGANA,GROUND WATER,HALF-YEARLY,17.348494,78.822366,
