STATION CODE,LOCATIONS,STATE,Temp,DO,PH,Conductivity,BOD,NI,Fec_col,Tot_col,year
3189,RIVER CHAPORA AT SIOLIM,GOA,30.0,6.0,7.5,72.0,1.6,0.2,4995.0,9517.0,2014
1546,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,29.0,7.3,7.0,247.0,1.5,0.2,1095.0,2453.0,2014
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,29.1,7.3,7.0,188.0,1.0,0.1,1286.0,3048.0,2014
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.7,7.0,6.9,224.0,1.2,0.3,3896.0,6742.0,2014
1545,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,28.7,7.3,6.7,144.0,1.5,0.1,1940.0,3052.0,2014
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,29.5,5.3,6.8,319.0,1.8,0.3,6458.0,10250.0,2014
2271,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,29.0,6.3,6.4,79.0,1.6,1.4,7592.0,12842.0,2014
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,29.4,5.4,7.6,39.0,1.4,0.1,3176.0,6367.0,2014
3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA,28.3,2.2,6.5,322.0,4.7,1.2,11210.0,14920.0,2014
3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,30.1,5.2,7.1,192.0,2.6,0.3,5073.0,8925.0,2014
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,30.3,5.6,7.5,282.0,1.8,0.1,3205.0,5082.0,2014
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,30.5,5.5,7.4,275.0,1.5,0.1,4698.0,8625.0,2014
1547,"RIVER TALPONA AT CANACONA, GOA",GOA,29.1,7.3,6.7,55.0,1.4,0.1,2638.0,4003.0,2014
3188,RIVER TIRACOL AT TIRACOL,GOA,30.1,6.5,7.5,415.0,2.0,0.1,864.0,1538.0,2014
1544,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,29.2,7.2,6.3,100.0,1.5,0.1,7942.0,13575.0,2014
2651,"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,25.1,6.6,7.8,95.0,4.9,0.2,16.0,36.0,2014
1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,29.6,6.9,7.9,99.0,5.0,0.4,15.0,34.0,2014
2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,27.4,6.8,7.7,85.0,5.2,0.3,11.0,23.0,2014
2654,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,27.8,6.7,7.8,80.0,4.9,0.3,12.0,29.0,2014
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,30.6,5.1,7.3,3937.0,10.3,1.8,31.0,83.0,2014
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,25.0,5.6,7.9,468.0,3.6,1.9,66.0,164.0,2014
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,25.0,6.4,7.6,541.0,5.7,0.6,23.0,45.0,2014
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,25.0,5.5,7.4,6166.0,7.7,1.1,44.0,67.0,2014
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,25.3,5.3,7.7,24062.0,9.9,1.2,156.0,304.0,2014
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,25.1,6.7,7.6,83.0,4.8,0.2,28.0,76.0,2014
2168,MITHI RIVER,MAHARASHTRA,26.1,3.6,7.4,4424.0,31.3,2.2,276.0,474.0,2014
2676,"MUCHKUNDI RIVER AT  WAKED,RATNAGIRI, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,21.4,7.2,7.7,226.0,3.1,0.8,,130.0,2014
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,27.4,5.9,7.4,268.0,6.4,0.4,37.0,68.0,2014
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,27.1,5.4,7.5,2413.0,7.4,1.5,59.0,116.0,2014
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,27.2,5.8,7.3,384.0,5.4,0.6,37.0,78.0,2014
2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,27.3,5.9,7.4,269.0,5.1,1.2,34.0,60.0,2014
2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,27.0,6.0,7.3,269.0,8.5,0.4,32.0,58.0,2014
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,27.2,6.1,7.3,196.0,6.1,0.5,30.0,63.0,2014
2689,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,27.0,5.9,7.4,269.0,6.4,0.4,19.0,47.0,2014
2696,"PEHLAR DAM ON PEHLAR RIVER INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,22.6,6.3,7.8,223.0,4.6,0.9,15.0,32.0,2014
2199,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,28.4,6.7,7.3,9293.0,3.5,1.8,,0.0,2014
2701,"SAVITRI RIVER JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,28.0,6.8,7.2,170.0,3.1,1.4,,0.0,2014
2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,27.6,6.8,7.3,4175.0,3.3,1.6,,0.0,2014
2703,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA,27.9,6.9,7.3,4282.0,3.3,1.6,,0.0,2014
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,28.1,6.9,7.3,5551.0,3.4,1.7,,0.0,2014
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,27.1,6.8,7.9,5390.0,4.9,0.8,15.0,28.0,2014
2707,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",MAHARASHTRA,27.6,6.6,8.1,161.0,4.6,0.3,16.0,32.0,2014
2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,27.3,6.7,8.0,138.0,5.0,0.3,14.0,33.0,2014
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,27.8,6.7,7.8,81.0,4.9,0.3,14.0,35.0,2014
1093,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA,28.0,5.9,7.7,194.0,5.5,0.6,22.0,51.0,2014
1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA,28.1,6.3,7.6,186.0,4.6,0.6,13.0,31.0,2014
2162,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA,28.6,6.6,7.6,207.0,4.7,0.7,12.0,31.0,2014
2712,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA,26.9,6.8,7.7,85.0,5.0,0.4,15.0,34.0,2014
2164,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,23.0,7.1,7.4,176.0,2.7,0.9,,30.0,2014
2713,"VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL, KHERDI, RATNAGIRI",MAHARASHTRA,23.0,7.0,7.4,178.0,2.7,0.9,,40.0,2014
2714,"VASHISHTI RIVER AT U/S OF POPHALI NEAR KONPHANSAWANE BRIDGE, CHIPLUN, RATNAGIRI",MAHARASHTRA,23.0,7.2,7.2,180.0,2.7,1.0,,70.0,2014
1342,"ACHENKOIL AT THUMPAMON, KERALA",KERALA,25.1,6.7,7.5,85.0,1.4,1.0,183.0,420.0,2014
1443,"ACHENKOIL AT CHENNITHULA, KERALA",KERALA,24.6,5.8,7.4,77.0,1.4,0.8,285.0,691.0,2014
3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,25.7,6.6,7.5,75.0,1.4,0.7,183.0,448.0,2014
3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",KERALA,24.8,6.7,7.5,82.0,1.4,1.0,161.0,443.0,2014
2297,R ANCHARAKANDY AT MERUVAMBA,KERALA,27.3,6.7,6.9,56.0,0.9,0.2,82.0,172.0,2014
2319,R ANCHARAKANDY AT MERUVAMBA,KERALA,27.5,6.5,6.7,2240.0,1.2,0.2,136.0,304.0,2014
2286,R AYROOR AT AYROOR BRIDGE,KERALA,25.2,6.3,6.9,73.0,1.6,0.0,787.0,2008.0,2014
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,29.9,7.0,7.4,130.0,0.7,0.1,301.0,590.0,2014
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,29.8,6.6,7.7,191.0,1.6,0.2,362.0,661.0,2014
1154,"CHALAKUDY AT PULICKALKANANDAVU, KERALA",KERALA,27.8,6.9,6.9,134.0,1.1,0.4,249.0,531.0,2014
20,"CHALIYAR AT KOOLIMADU, KERALA",KERALA,26.7,7.0,7.5,80.0,0.8,0.4,2573.0,3583.0,2014
21,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA,25.8,6.7,7.4,14526.0,0.8,0.6,1411.0,1969.0,2014
3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,26.4,7.2,7.4,82.0,0.7,0.5,840.0,1311.0,2014
1572,"CHANDRAGIRI AT PADIYATHADKA, KERALA",KERALA,29.8,7.5,7.2,67.0,1.1,0.1,76.0,590.0,2014
1573,"CHITRAPUZHA AT IRUMPANAM, KERALA",KERALA,28.6,3.0,6.6,965.0,1.7,1.2,247.0,530.0,2014
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26.9,5.9,7.4,17990.0,0.7,0.5,1888.0,2803.0,2014
1564,"R ITHIKKARA AT AYUR, KERALA",KERALA,26.0,6.7,7.5,90.0,1.6,0.9,199.0,473.0,2014
2287,R ITHIKKARA AT ITHIKKARA,KERALA,23.6,6.1,7.4,4429.0,2.0,1.6,243.0,550.0,2014
1566,"R KADALUNDI AT THIRURANGADY, KERALA",KERALA,30.3,6.7,6.9,87.0,1.7,0.2,155.0,350.0,2014
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,30.7,6.9,6.8,85.0,1.6,0.2,82.0,206.0,2014
2337,R KADAMBAYAR AT BRAHMAPURAM,KERALA,28.7,2.1,6.8,101.0,1.6,0.8,431.0,694.0,2014
2338,R KADAMBAYAR AT MANCKAKADAVU,KERALA,28.2,2.5,6.9,83.0,1.9,0.3,353.0,656.0,2014
42,"KALLADA AT PERUMTHOTTAMKADAVU, PUNALOOR, KERALA",KERALA,24.8,7.2,7.6,75.0,1.4,1.0,188.0,426.0,2014
2294,R KALLAI AT KALLAI BRIDGE,KERALA,26.3,3.7,7.7,32005.0,1.2,0.9,40000.0,60392.0,2014
3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,29.2,6.1,7.6,281.0,1.2,0.7,384.0,718.0,2014
3458,KARAPUZHA DAM AT WAYANAD,KERALA,26.6,6.7,7.6,106.0,0.5,2.5,44.0,71.0,2014
1571,"R KARINGODE AT KAKKADAVU,  KERALA",KERALA,30.4,7.6,7.1,58.0,1.2,0.1,163.0,961.0,2014
1155,"KARAMANA AT MOONNATTUMUKKU, KERALA",KERALA,25.5,1.9,7.7,2941.0,26.9,2.8,10875.0,37375.0,2014
3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",KERALA,25.1,7.4,7.0,35.0,0.1,0.0,165.0,409.0,2014
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,28.9,6.4,7.2,63.0,1.3,0.4,121.0,535.0,2014
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,28.8,5.4,6.7,65.0,1.1,0.3,60.0,144.0,2014
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,29.3,5.6,7.3,90.0,1.6,0.4,268.0,705.0,2014
2326,R KORAYAR AT KANJIKODE,KERALA,29.5,7.1,8.0,728.0,1.2,0.4,374.0,697.0,2014
1569,"R KUPPAM AT THALIPARAMBA, KERALA",KERALA,28.4,5.9,6.8,13953.0,1.5,0.4,70.0,166.0,2014
2298,R KUPPAM AT RAYAROM,KERALA,26.9,7.4,6.9,57.0,1.1,0.3,70.0,159.0,2014
1567,"R KUTTIYADE AT KUTTIYADY ESTATE, KERALA",KERALA,25.8,7.2,7.2,41.0,0.7,0.2,441.0,658.0,2014
1568,"R MAHE AT VALAYAM, KERALA",KERALA,26.6,6.5,7.4,71.0,0.6,0.3,4192.0,7018.0,2014
2285,R MAMOM AT MAMOM BRIDGE,KERALA,25.3,6.8,7.1,81.0,0.8,0.0,389.0,1268.0,2014
1340,"MANIMALA  AT KALLOOPARA, KERALA",KERALA,28.2,6.8,6.9,68.0,1.7,0.1,449.0,660.0,2014
1384,"MANIMALA AT THONDRA, KERALA",KERALA,28.5,6.6,7.0,70.0,1.4,0.1,550.0,822.0,2014
3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,27.6,6.4,7.7,100.0,0.6,0.9,56.0,88.0,2014
2307,R MANJESWAR AT BAJRAKKARA BR.,KERALA,29.0,7.3,6.9,96.0,1.9,0.2,89.0,825.0,2014
1339,"MEENACHIL AT KIDANGOOR, KERALA",KERALA,27.5,6.8,6.6,49.0,0.5,0.4,1719.0,2950.0,2014
2304,R MOGRAL AT MOGRAL BR.,KERALA,30.0,5.6,7.2,24360.0,2.1,0.3,92.0,447.0,2014
43,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA,27.8,6.9,6.8,59.0,0.6,0.5,1916.0,3375.0,2014
2302,R NEELASWARAM AT NAMBIARKAL DAM,KERALA,30.2,7.1,6.8,14410.0,1.8,0.1,65.0,468.0,2014
1570,"R NEELESWARAM AT HOSDURG, KERALA",KERALA,30.8,6.2,7.2,22757.0,1.5,0.1,98.0,542.0,2014
1563,"R NEYYAR AT AMARAVILA, KERALA",KERALA,25.3,6.7,7.1,66.0,0.6,0.0,222.0,626.0,2014
2284,R NEYYAR AT ARUVIPURAM,KERALA,25.3,7.2,7.0,59.0,0.6,0.0,165.0,433.0,2014
2288,R PALLICKAL AT NELLIMUKAL,KERALA,25.8,6.0,7.6,120.0,1.3,1.1,212.0,523.0,2014
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,27.2,5.2,6.8,55.0,0.6,0.7,171.0,313.0,2014
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,28.1,4.8,6.8,86.0,0.7,0.8,208.0,332.0,2014
1565,"PAMBA DOWN, KERALA",KERALA,28.3,3.9,6.9,62.0,0.5,0.7,155.0,284.0,2014
17,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,28.1,5.0,6.9,3185.0,1.8,0.4,290.0,667.0,2014
18,"PERIYAR AT KALADY, KERALA",KERALA,27.7,7.0,7.0,36.0,1.1,0.2,276.0,541.0,2014
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,28.0,6.3,6.9,64.0,1.2,0.3,381.0,815.0,2014
2333,RIVER PERIYAR AT MUPPATHADAM,KERALA,28.2,6.2,6.9,86.0,1.3,0.2,372.0,1007.0,2014
2334,RIVER PERIYAR AT PATHALAM,KERALA,28.0,5.7,6.8,2640.0,1.9,0.5,385.0,759.0,2014
2335,R PERIYAR AT KALAMASSERY,KERALA,28.1,5.7,6.9,53.0,3.1,0.4,574.0,1205.0,2014
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,28.1,6.6,7.1,2007.0,1.3,0.2,356.0,785.0,2014
3468,"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",KERALA,28.1,6.6,7.0,46.0,1.3,0.3,228.0,472.0,2014
2300,R PERUVAMBA AT CHANDAPPURA,KERALA,27.3,6.5,6.5,43.0,0.9,0.4,87.0,188.0,2014
2303,R PULLUR AT PULLUR BR.,KERALA,28.3,6.7,6.3,54.0,0.9,0.1,136.0,610.0,2014
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29.1,4.3,7.2,113.0,1.8,0.4,188.0,796.0,2014
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,28.7,4.6,6.7,12561.0,1.5,0.6,72.0,171.0,2014
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28.5,7.7,6.9,61.0,1.6,0.0,88.0,554.0,2014
2296,R THALLASSERY AT PATHIPPALAM,KERALA,26.6,5.8,6.5,61.0,1.0,0.4,70.0,151.0,2014
2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,31.0,4.5,6.9,1614.0,2.1,0.6,131.0,230.0,2014
2306,R UPPALA AT  UPPALA BR.,KERALA,30.5,6.9,7.2,20950.0,1.3,0.2,113.0,643.0,2014
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,28.8,6.6,7.0,14487.0,0.9,0.3,55.0,103.0,2014
1442,"VAMANAPURAM, KERALA",KERALA,25.3,6.9,7.5,54.0,0.6,0.0,319.0,1633.0,2014
1448,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,25.9,5.5,7.6,569.0,1.3,0.9,18.0,141.0,2014
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,26.5,5.4,7.8,310.0,0.8,2.4,7.0,107.0,2014
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,18.9,7.1,7.8,516.0,0.7,0.5,2.0,1238.0,2014
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,20.5,6.9,8.0,505.0,0.9,0.7,2.0,1563.0,2014
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,27.1,7.3,7.3,109.0,2.4,3.4,18.0,65.0,2014
2780,"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",KARNATAKA,26.3,7.5,7.5,83.0,2.1,2.0,22.0,74.0,2014
1894,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,29.1,6.4,7.2,102.0,1.0,0.0,137.0,1223.0,2014
1892,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,28.4,6.5,7.1,92.0,1.0,0.0,155.0,1342.0,2014
2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",ODISHA,24.7,7.7,7.9,232.0,1.3,0.8,30790.0,40500.0,2014
2424,BUDHABALANGA AT BALASORE D/S,ODISHA,24.4,7.5,7.8,519.0,2.1,0.7,38700.0,53556.0,2014
2425,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",ODISHA,22.7,7.3,7.2,103.0,0.7,1.7,4871.0,13810.0,2014
2422,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ODISHA,24.8,7.4,7.9,196.0,0.7,0.6,5323.0,15213.0,2014
1642,"NAGAVALLI AT JAYKAYPUR D/S, ODISHA",ODISHA,24.0,7.4,7.8,244.0,1.9,1.0,20880.0,12473.0,2014
1643,"NAGAVALLI AT RAYAGADA D/S, ODISHA",ODISHA,22.8,7.5,8.0,243.0,1.7,0.9,8780.0,30319.0,2014
1455,"RUSHIKULYA AT GANJAM U/S, ODISHA",ODISHA,26.8,7.2,8.0,296.0,1.5,0.7,1468.0,4314.0,2014
1456,"RUSHIKULYA AT GANJAM D/S, ODISHA",ODISHA,27.4,6.6,7.8,25034.0,1.5,0.9,1671.0,4224.0,2014
2426,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ODISHA,25.3,7.5,7.9,194.0,1.0,1.0,2906.0,8559.0,2014
2427,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ODISHA,27.1,7.4,7.9,170.0,0.8,0.9,4948.0,16709.0,2014
1685,"ARASALAR RIVER KARAIKAL REGION, PONDICHERRY",PONDICHERRY,29.0,,7.3,386.0,,0.2,,,2014
2444,CORINGA RIVER,PONDICHERRY,25.0,5.9,7.9,21600.0,,0.1,,,2014
2442,GAUTAMINANGODAVARI RIVER,PONDICHERRY,25.0,6.5,7.3,21600.0,,0.1,,,2014
2443,GAUTAMINANGODAVARI RIVER,PONDICHERRY,25.0,6.5,7.7,26600.0,,0.1,,,2014
2445,MAHE RIVER,PONDICHERRY,32.0,6.0,7.1,13000.0,,0.4,,,2014
1450,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",TAMILNADU,29.3,6.5,7.4,1063.0,2.0,0.6,177.0,374.0,2014
1159,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",TAMILNADU,22.8,6.8,6.6,63.0,2.9,0.1,11.0,36.0,2014
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",TAMILNADU,24.5,6.6,6.4,101.0,2.5,0.2,13.0,41.0,2014
1161,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE,TAMILNADU.",TAMILNADU,25.5,6.6,6.5,136.0,2.5,0.2,13.0,45.0,2014
1162,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",TAMILNADU,29.0,6.7,6.9,226.0,2.2,0.2,12.0,38.0,2014
1328,"TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU",TAMILNADU,23.8,6.7,6.3,72.0,2.7,0.2,9.0,32.0,2014
1329,"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILNADU",TAMILNADU,22.8,6.7,6.4,61.0,4.6,0.1,10.0,34.0,2014
1330,"TAMBIRAPARANI AT ARUMUGANERI, TAMILNADU",TAMILNADU,29.0,6.6,7.2,1300.0,2.7,0.2,21.0,60.0,2014
3025,"TAMBIRAPARANI AT ERAL, THOTHUKUDI, TAMILNADU",TAMILNADU,29.0,6.7,7.0,461.0,2.5,0.1,17.0,51.0,2014
3026,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI, TAMILNADU",TAMILNADU,23.0,6.6,6.2,69.0,2.5,0.1,11.0,38.0,2014
3027,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI, TAMILNADU",TAMILNADU,29.0,6.8,6.9,241.0,2.5,0.1,14.0,48.0,2014
3028,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI, TAMILNADU",TAMILNADU,25.7,6.5,6.6,159.0,2.4,0.2,11.0,41.0,2014
3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI, TAMILNADU",TAMILNADU,25.7,6.6,6.7,170.0,2.5,0.2,10.0,34.0,2014
3023,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",TAMILNADU,24.3,0.9,7.6,2039.0,104.5,0.9,272521616.0,511090873.0,2014
1885,RIVER GHAGGAR AT D/S OF SURAJPUR,HARYANA,,,,,,,,,2014
1023,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",PUNJAB,22.7,5.8,7.2,640.0,6.0,4.3,1450.0,4073.0,2014
1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB,19.0,4.8,7.6,1090.0,22.0,3.6,30500.0,52500.0,2014
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",PUNJAB,23.0,5.5,7.3,705.0,10.0,5.0,2020.0,5433.0,2014
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.), PUNJAB",PUNJAB,24.0,5.1,7.4,1375.0,23.7,5.9,27333.0,50333.0,2014
1698,"D/S CHHATBIR, PUNJAB",PUNJAB,24.7,5.5,7.4,745.0,10.0,6.1,12167.0,29333.0,2014
1699,"U/S DHAKANSU NALLAH, PUNJAB",PUNJAB,25.0,5.0,7.6,975.0,16.3,6.1,11167.0,21667.0,2014
1700,"D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,22.0,4.9,7.7,1385.0,27.5,7.7,42500.0,72000.0,2014
